PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,ML,Mw,Mo,CD,NS,DC,Mxx,Mxy,Mxz,Myy,Myz,Mzz,VR,Tva,Tpl,Taz,Nva,Npl,Naz,Pva,Ppl,Paz,Method,reviewed,reviewer,source
2103645,20030800000000,-45.1929,166.83,20,35,79,213,56,98,7,7.1,5.61E+026,22,5,87,-735165.31,2369692.25,-1425430.75,-4250704.5,1486940.25,4985869.5,83,5416627.5,78,149,388026.19,6,28,-5804654,11,298,1,True,Felipe,GeoNet
2169849,20030800000000,-45.3592,166.8152,12,23,72,212,68,98,6.1,6.1,1.34E+025,14,3,70,-24379.98,20586.8,-59955.3,-77293.3,76089.99,101673.27,67,144527.23,66,135,-21321.51,7,29,-123205.72,23,296,1,True,Felipe,GeoNet
2206498,20030800000000,-45.29,166.802,44,41,67,252,53,108,5.1,5.3,9.16E+023,9,1,79,-6419.43,4901.66,-2648.5,-1525.1,-573.02,7944.53,71,8649.84,74,217,1021.07,14,60,-9670.91,6,329,1,True,Felipe,GeoNet
2218435,20030800000000,-45.0656,166.9658,232,68,102,23,25,63,5.1,5.2,7.19E+023,14,1,66,-1515.79,3653.11,-4129.25,-2732.08,2961.54,4247.87,89,6523.77,65,162,1337.04,11,47,-7860.81,22,313,1,True,Felipe,GeoNet
2254800,20030800000000,-45.1861,166.9908,52,43,79,247,48,100,5,5,3.3E+023,10,1,89,-2420.32,1343.12,-440.26,-901.23,-281.92,3321.55,77,3391.86,82,222,-179.29,8,60,-3212.57,3,330,1,True,Felipe,GeoNet
2281164,20030800000000,-45.3072,166.9217,221,57,66,80,40,122,5.5,5.5,2.07E+024,5,1,85,-14387.7,10640.4,-2038.05,-2374.83,8199.61,16762.53,81,19901.52,68,81,1640.91,20,234,-21542.42,9,328,1,True,Felipe,GeoNet
2259710,20030800000000,-45.1529,166.8441,261,59,118,36,40,52,4.5,4.8,1.65E+023,6,1,78,-1005.16,727.2,-782.28,-332.27,-376.99,1337.43,61,1741.57,65,220,-190.47,23,66,-1551.1,10,332,1,False,,GeoNet
2105025,20030800000000,-45.2061,166.9382,240,61,93,53,29,84,4.8,4.9,2.82E+023,5,1,74,-1670.56,1369.7,-1333.56,-498.35,725.59,2168.9,85,2617.18,74,159,398.85,3,58,-3016.03,16,328,1,False,,GeoNet
2214737,20030800000000,-45.4634,166.6344,40,45,122,178,53,62,5.4,5.4,1.43E+024,19,2,80,1385.05,5514.7,3458.4,-13020.7,3080.33,11635.65,75,-15016.72,67,28,1495.29,22,195,13521.44,4,288,1,True,Felipe,GeoNet
2106314,20030800000000,-45.4882,166.6794,42,48,70,250,45,111,5,5.1,5.28E+023,6,1,98,-3507.79,2639.27,-511.03,-1419.03,-1186.28,4926.82,83,5261.68,76,242,46.12,14,55,-5307.8,2,146,1,True,Felipe,GeoNet
